Date,Followers,Profile_Views,Impressions,Reach,Like,Comments,Shares,Saves
2023-01-01,422,198,3125,2420,185,32,25,14
2023-01-02,428,186,3287,2602,198,31,24,15
2023-01-03,426,204,3365,2788,208,34,26,16
2023-01-04,429,179,3256,2650,215,30,23,15
2023-01-05,433,192,3401,2700,230,29,21,17
2023-01-06,437,211,3602,2888,242,26,20,15
2023-01-07,442,198,3456,2720,255,27,22,18
2023-01-08,439,213,3678,2935,268,25,23,17
2023-01-09,445,197,3720,2976,278,23,21,18
2023-01-10,446,212,3580,2802,288,22,20,16
2023-01-11,452,190,3802,3105,300,20,19,17
2023-01-12,456,202,3925,3250,312,22,21,18
2023-01-13,455,183,3700,2820,325,21,19,17
2023-01-14,457,209,3998,3088,337,20,18,19
2023-01-15,459,201,4120,3182,343,22,20,22
2023-01-16,467,212,4056,3102,358,23,21,25
2023-01-17,468,189,4225,3250,368,24,22,28
2023-01-18,469,206,4287,3325,378,25,23,30
2023-01-19,470,195,4195,3120,387,27,25,31
2023-01-20,474,214,4370,3333,398,28,26,32
2023-01-21,477,201,4432,3450,407,29,27,34
2023-01-22,478,210,4550,3550,418,30,28,35
2023-01-23,482,191,4466,3420,428,32,30,38
2023-01-24,480,212,4650,3650,438,34,32,40
2023-01-25,481,199,4720,3755,448,35,33,42
2023-01-26,483,220,4845,3920,456,37,34,44
2023-01-27,485,203,4750,3750,464,38,35,45
2023-01-28,484,230,5020,3980,472,40,37,48
2023-01-29,482,214,5085,4025,480,42,39,50
2023-01-30,478,221,5140,4150,488,44,40,52
2023-01-31,479,205,4978,3888,494,45,41,53
2023-02-01,481,227,5225,4085,500,46,42,55
2023-02-02,482,209,5200,4020,505,48,43,57
2023-02-03,480,236,5410,4220,512,50,45,60
2023-02-04,483,215,5300,4120,518,51,46,62
2023-02-05,485,245,5550,4330,524,53,47,64
2023-02-06,482,225,5480,4250,530,55,49,65
2023-02-07,480,251,5685,4450,534,57,50,68
2023-02-08,475,231,5650,4320,540,58,51,70
2023-02-09,471,248,5890,4550,545,60,53,72
2023-02-10,465,238,5820,4480,548,62,54,74
2023-02-11,462,263,6080,4700,552,64,55,75
2023-02-12,458,250,6100,4750,556,66,56,77
2023-02-13,455,275,6320,4950,562,68,58,80
2023-02-14,451,256,6300,4900,567,69,59,82
2023-02-15,448,288,6585,5150,570,71,60,84
2023-02-16,444,265,6500,5050,574,73,62,85
2023-02-17,442,297,6780,5250,578,75,64,87
2023-02-18,439,275,6700,5150,582,77,65,89
2023-02-19,436,305,6950,5380,586,79,67,92
2023-02-20,433,285,6850,5250,590,80,68,94
2023-02-21,431,315,7100,5480,594,82,70,96
2023-02-22,428,298,7050,5350,597,84,71,98
2023-02-23,426,330,7305,5600,602,86,73,100
2023-02-24,423,309,7250,5450,605,88,75,102
2023-02-25,419,344,7500,5680,609,90,77,105
2023-02-26,417,320,7400,5550,612,91,78,107
2023-02-27,413,358,7650,5800,616,93,80,109
2023-02-28,411,335,7600,5750,620,95,82,112
2023-03-01,405,387,7810,6020,625,96,83,115
2023-03-02,410,363,7785,5970,630,97,84,118
2023-03-03,415,388,8000,6220,634,98,86,120
2023-03-04,420,409,8280,6450,639,99,87,123
2023-03-05,425,392,8235,6330,643,101,89,126
2023-03-06,430,413,8420,6620,647,103,90,128
2023-03-07,435,438,8630,6850,651,105,92,131
2023-03-08,440,422,8590,6800,655,107,94,134
2023-03-09,445,445,8880,7030,660,109,95,137
2023-03-10,450,460,9120,7260,665,111,97,139
2023-03-11,455,448,9065,7120,669,113,99,142
2023-03-12,460,477,9320,7360,673,115,100,145
2023-03-13,465,464,9275,7220,677,117,102,148
2023-03-14,470,490,9520,7470,681,119,104,150
2023-03-15,475,509,9820,7730,686,121,105,153
2023-03-16,480,495,9785,7680,690,123,107,156
2023-03-17,485,525,10010,7930,694,125,109,159
2023-03-18,490,533,10250,8180,698,127,111,162
2023-03-19,495,516,10205,8070,702,129,112,164
2023-03-20,500,553,10520,8330,707,131,114,167
2023-03-21,505,582,10830,8590,712,133,116,170
2023-03-22,510,574,10785,8520,716,135,118,173
2023-03-23,505,602,11040,8800,720,137,120,176
2023-03-24,500,593,11105,8720,725,139,122,179
2023-03-25,495,612,11320,8970,730,141,124,182
2023-03-26,490,635,11550,9220,735,143,126,185
2023-03-27,485,615,11495,9160,739,145,127,188
2023-03-28,480,650,11810,9450,744,147,129,191
2023-03-29,475,675,12025,9700,749,149,131,194
2023-03-30,470,664,12080,9630,754,151,133,197
2023-03-31,465,692,12300,9920,759,153,135,200
